run_id,system,workload,scenario,conflict_ratio,concurrency,total_requests,attempts_total,attempts_committed,attempts_aborted,abort_rate_attempt,requests_total,requests_failed,abort_prob_request,retry_p50,retry_p90,retry_p99,retry_max
80d85161-2277-4cfc-9799-db718d00a604,HLF-fhe-insecure-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,3611,1985,1626,0.45029077817779006,2000,15,0.0075,1,4,10,10
532f35cf-ea41-44bc-8e1b-fda2b5452939,HLF-ctm-fhe-insecure-window50-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,1877,1317,560,0.2983484283431007,1317,0,0,1,3,5,8
2b091bc9-cb38-4a6b-b185-d34f48e19bf4,HLF-fhe-insecure-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,19893,12,19881,0.9993967727341276,2000,1988,0.994,10,10,10,10
0cc8d557-36ed-47fb-b55c-21271fc9a00b,HLF-ctm-fhe-insecure-window50-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,13161,1,13160,0.9999240179317681,1317,1316,0.9992406985573272,10,10,10,10
da1fe0fa-b5af-4c33-9607-8eec8d267974,HLF-fhe-insecure-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,19893,12,19881,0.9993967727341276,2000,1988,0.994,10,10,10,10
77cd425c-c63e-435f-a618-d22ca83c86c1,HLF-ctm-fhe-insecure-window50-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,13161,1,13160,0.9999240179317681,1317,1316,0.9992406985573272,10,10,10,10
7a4ca8ab-984c-4b17-ab29-f5461be88525,HLF-fhe-insecure-cr0.5-n2000,smallbank_transfer_fhe,hot_accounts,0.5,10,2000,3862,1979,1883,0.4875712066286898,2000,21,0.0105,1,4,10,10
086891ba-2885-423a-8641-0c2d3ad95a44,HLF-fhe-zeestar-insecure-cr0.5-n2000,smallbank_transfer_fhe_zeestar,hot_accounts,0.5,10,2000,3753,1983,1770,0.47162270183852917,2000,17,0.0085,1,4,9,10
5aee038b-3670-4893-8efd-8844d74da609,HLF-fhe-zeestar-insecure-cr0.5-n2000,smallbank_transfer_fhe_zeestar,hot_accounts,0.5,10,2000,3768,1990,1778,0.4718683651804671,2000,10,0.005,1,4,8,10
40c3cfa8-6fcb-4069-8b99-a834f090297a,HLF-baseline-cr0.5-n2000-cr0.1,smallbank_transfer,hot_accounts,0.1,10,2000,2070,2000,70,0.033816425120772944,2000,0,0,1,1,2,4
7f193e6d-acfa-416e-b5f7-f022655200dd,HLF-baseline-cr0.5-n2000-cr0.5,smallbank_transfer,hot_accounts,0.5,10,2000,3285,1988,1297,0.3948249619482496,2000,12,0.006,1,3,9,10
a66584e9-0ae4-4324-a064-06b1e2bee3e5,HLF-baseline-cr0.5-n2000-cr0.9,smallbank_transfer,hot_accounts,0.9,10,2000,5170,1909,3261,0.6307543520309478,2000,91,0.0455,1,7,10,10
a257b8c3-5705-498c-bfea-f990a6a95ca5,HLF-baseline-cr0.5-n2000-cr0.1,smallbank_transfer,hot_accounts,0.1,10,2000,2067,2000,67,0.0324141267537494,2000,0,0,1,1,2,5
d7c72321-c2cc-4021-ad6d-a35b4341b9fb,HLF-baseline-cr0.5-n2000-cr0.5,smallbank_transfer,hot_accounts,0.5,10,2000,3266,1983,1283,0.39283527250459277,2000,17,0.0085,1,3,9,10
43a3b5b7-37ab-43fe-928c-0e0a8e8a4afb,HLF-baseline-cr0.5-n2000-cr0.9,smallbank_transfer,hot_accounts,0.9,10,2000,5156,1924,3232,0.6268425135764158,2000,76,0.038,1,7,10,10
12ae82e1-58ec-49c3-9b6a-b3ab81487616,HLF-baseline-cr0.5-n2000-cr0.1,smallbank_transfer,hot_accounts,0.1,10,2000,2067,2000,67,0.0324141267537494,2000,0,0,1,1,2,4
